id,es_total_ps
14351,1556.472082828116
14352,1112.621641497018
14353,723.9432476307937
14354,590.290780830623
14355,568.7300408976283
14356,623.9756901947379
14357,1083.9224245882192
14358,1649.8812914734365
14359,1509.2990409339432
14360,661.945343272502
14361,-238.7139793221593
14362,-717.5456934569421
14363,-1031.7637177892
14364,-1162.4689254447555
14365,-1441.803007347183
14366,-1427.6045463562302
14367,-1739.5950826278042
14368,-1905.008486148896
14369,-871.0301877894251
14370,87.52202980378496
14371,1534.696368942403
14372,2766.946347254108
14373,2604.875854132767
14374,2150.715545625977
14375,1335.8336561536353
14376,1029.2509484448792
14377,708.0169257875058
14378,560.9512155817922
14379,514.8077537215299
14380,498.56592359078843
14381,888.5966292024756
14382,1543.8821755300014
14383,1388.0731249644907
14384,384.96502206307855
14385,-1034.5291922245556
14386,-1585.3298884384994
14387,-2015.539467178621
14388,-2270.725370823551
14389,-2451.1707709628286
14390,-2743.9924524915928
14391,-2831.8234159107533
14392,-2723.0159210551446
14393,-1928.664890265855
14394,-184.9668476220044
14395,1279.2052897444216
14396,2643.89507380206
14397,2561.0572911902896
14398,2191.372379175162
14399,1431.1967718580993
14400,1139.7357762669508
14401,767.280970396797
14402,505.29980994591597
14403,479.47064977344786
14404,390.7596662445868
14405,543.2781690612416
14406,718.7999697172644
14407,492.75144152327925
14408,-1265.9136416424997
14409,-2819.3805579294535
14410,-3024.2267196157986
14411,-3353.8555770785983
14412,-3322.2804918758115
14413,-3327.3539465576177
14414,-3305.4585038643318
14415,-3343.206894800406
14416,-3063.1949451067353
14417,-2620.819455907007
14418,-673.2016100446284
14419,1326.8144004987435
14420,2605.7774795540045
14421,2702.7420762874685
14422,2353.6272350535955
14423,1609.5461894131279
14424,1181.1765552248132
14425,585.1621766305401
14426,489.38635537601283
14427,479.65944325019535
14428,378.65522148555726
14429,527.0038205109157
14430,726.3432480066377
14431,260.811111900372
14432,-1676.185934756486
14433,-3168.4467454359133
14434,-3150.073252512457
14435,-3384.0092801297046
14436,-3341.13425814916
14437,-3015.51673549453
14438,-2967.4844050772213
14439,-2881.6894547326524
14440,-2832.2976436048466
14441,-2069.1570167445625
14442,-448.0033562523287
14443,1452.9877357370676
14444,2641.563869844573
14445,2711.634177174199
14446,2462.819648248671
14447,1920.6912006766613
14448,1515.5795338849155
14449,836.1312903961903
14450,673.0874714116902
14451,624.7079239773238
14452,816.7025281863334
14453,1192.4980902220452
14454,1715.6382330661338
14455,1800.0301357673216
14456,851.7870759963997
14457,-580.0069456481114
14458,-1267.8216570614134
14459,-1618.0945505973348
14460,-1435.579061028831
14461,-1185.8956815253644
14462,-1785.6828071187822
14463,-1594.281389197466
14464,-1259.21236323583
14465,-760.4456951890292
14466,294.76005500817377
14467,1611.6834322871725
14468,2847.3817609167445
14469,2844.9765372410534
14470,2443.3986727855827
14471,1500.2028683672536
14472,1155.656618608254
14473,723.6749017727138
14474,614.8294431782007
14475,567.6983721329829
14476,656.985432258159
14477,1040.181577287024
14478,1487.7772994010058
14479,1509.0613667293158
14480,717.4880483590504
14481,-314.48510227021626
14482,-997.2030740530525
14483,-1214.7070775313841
14484,-1401.588269900835
14485,-1354.0101953581382
14486,-1703.1734631425911
14487,-1774.7938536359222
14488,-1410.3396111126528
14489,-795.8310721695815
14490,260.9439700986082
14491,1620.2497712227134
14492,2818.5528732519965
14493,2485.7714948411563
14494,2050.047189012327
14495,1420.5243086510832
14496,1064.6007727517106
14497,565.0051322274501
14498,280.39926854072706
14499,179.97339624139315
14500,171.56724854563438
