id,es_total_ps
14351,1495.531423108572
14352,1051.6809817774738
14353,663.0025879112495
14354,529.3501211110788
14355,507.7893811780841
14356,563.0350304751937
14357,1022.9817648686751
14358,1588.9406317538924
14359,1448.358381214399
14360,601.0046835529578
14361,-299.6546390417035
14362,-778.4863531764863
14363,-1092.704377508744
14364,-1223.4095851642996
14365,-1502.743667066727
14366,-1488.5452060757743
14367,-1800.5357423473483
14368,-1965.9491458684402
14369,-931.9708475089693
14370,26.581370084240774
14371,1473.755709222859
14372,2706.0056875345635
14373,2543.9351944132227
14374,2089.7748859064327
14375,1274.8929964340912
14376,968.3102887253351
14377,647.0762660679616
14378,500.010555862248
14379,453.8670940019857
14380,437.6252638712442
14381,827.6559694829314
14382,1482.9415158104573
14383,1327.1324652449466
14384,324.02436234353434
14385,-1095.4698519440997
14386,-1646.2705481580435
14387,-2076.480126898165
14388,-2331.6660305430955
14389,-2512.111430682373
14390,-2804.933112211137
14391,-2892.7640756302976
14392,-2783.956580774689
14393,-1989.6055499853992
14394,-245.90750734154858
14395,1218.2646300248775
14396,2582.9544140825155
14397,2500.1166314707452
14398,2130.431719455618
14399,1370.2561121385552
14400,1078.7951165474067
14401,706.3403106772528
14402,444.35915022637175
14403,418.52999005390365
14404,329.8190065250426
14405,482.3375093416974
14406,657.8593099977202
14407,431.81078180373504
14408,-1326.8543013620438
14409,-2880.321217648998
14410,-3085.167379335343
14411,-3414.7962367981427
14412,-3383.221151595356
14413,-3388.294606277162
14414,-3366.399163583876
14415,-3404.1475545199505
14416,-3124.1356048262796
14417,-2681.7601156265514
14418,-734.1422697641726
14419,1265.8737407791994
14420,2544.83681983446
14421,2641.801416567924
14422,2292.686575334051
14423,1548.6055296935838
14424,1120.2358955052691
14425,524.2215169109959
14426,428.4456956564686
14427,418.71878353065114
14428,317.71456176601305
14429,466.0631607913715
14430,665.4025882870935
14431,199.87045218082778
14432,-1737.12659447603
14433,-3229.3874051554576
14434,-3211.0139122320015
14435,-3444.949939849249
14436,-3402.0749178687042
14437,-3076.4573952140745
14438,-3028.4250647967656
14439,-2942.6301144521967
14440,-2893.238303324391
14441,-2130.097676464107
14442,-508.9440159718729
14443,1392.0470760175235
14444,2580.623210125029
14445,2650.6935174546547
14446,2401.8789885291267
14447,1859.7505409571172
14448,1454.6388741653714
14449,775.190630676646
14450,612.146811692146
14451,563.7672642577796
14452,755.7618684667892
14453,1131.5574305025011
14454,1654.6975733465897
14455,1739.0894760477775
14456,790.8464162768555
14457,-640.9476053676556
14458,-1328.7623167809575
14459,-1679.0352103168789
14460,-1496.519720748375
14461,-1246.8363412449085
14462,-1846.6234668383263
14463,-1655.2220489170102
14464,-1320.1530229553741
14465,-821.3863549085734
14466,233.81939528862955
14467,1550.7427725676284
14468,2786.4411011972
14469,2784.035877521509
14470,2382.4580130660383
14471,1439.2622086477095
14472,1094.7159588887098
14473,662.7342420531696
14474,553.8887834586565
14475,506.75771241343864
14476,596.0447725386148
14477,979.2409175674799
14478,1426.8366396814617
14479,1448.1207070097716
14480,656.5473886395062
14481,-375.4257619897605
14482,-1058.1437337725968
14483,-1275.6477372509282
14484,-1462.5289296203791
14485,-1414.9508550776823
14486,-1764.1141228621352
14487,-1835.7345133554663
14488,-1471.280270832197
14489,-856.7717318891257
14490,200.00331037906398
14491,1559.3091115031693
14492,2757.612213532452
14493,2424.830835121612
14494,1989.1065292927829
14495,1359.583648931539
14496,1003.6601130321665
14497,504.06447250790586
14498,219.45860882118285
14499,119.03273652184895
14500,110.6265888260902
14501,543.1563890654543
14502,1018.1257919015258
14503,1099.1738429729894
14504,260.45957179446737
14505,-922.9431422462944
14506,-1582.4136448638255
14507,-1410.6679513011004
14508,-1592.5933643763397
14509,-1723.1487232341733
14510,-1587.5450315198466
14511,-1678.6406797196328
14512,-1683.6538554390509
14513,-848.2298577457784
14514,535.6087833162032
14515,1694.1052697059226
14516,2783.776033202501
14517,2484.374018501354
14518,2068.572814901723
14519,1419.5687587527195
14520,1155.425256434798
14521,609.9357355701416
14522,506.2067790445749
14523,365.64704004547207
14524,373.86370831776856
14525,691.0274843496726
14526,1258.5509805592296
14527,1235.1203989986884
14528,204.59743192652698
14529,-1501.583532546516
14530,-1985.5922439171652
14531,-2095.908600882819
14532,-2166.4257125742906
14533,-2357.798299538155
14534,-2468.6112230203053
14535,-2228.1652175384775
14536,-1865.2732508553574
14537,-669.7740033451122
14538,395.5708844010583
14539,1585.9888736204261
14540,2740.2927350042437
14541,2660.335903383217
14542,2195.278253762072
14543,1670.5705453234978
14544,1309.0340393705922
14545,941.8528301004291
14546,720.0294447505319
14547,664.7339680446084
14548,693.8453952022153
14549,1037.9412969202785
14550,1552.695903123015
14551,1488.5912584783523
14552,480.8376239969356
14553,-1008.147462353037
14554,-1317.0648260506987
14555,-1643.8667841477754
14556,-1882.233518415012
14557,-1817.9966388759299
14558,-2368.2621192829347
14559,-2115.1615103418085
14560,-1725.5666004851637
14561,-568.2854879496012
14562,451.12178008870046
14563,1539.5143910907295
14564,2630.483471184193
14565,2335.889670640172
14566,1883.7453455128293
14567,1383.4222527662516
14568,995.821095166837
14569,580.4484500588067
14570,367.84289039604056
14571,231.42211419728832
14572,55.55396366136345
14573,323.24555189868863
14574,518.5091021647984
14575,223.47018151342385
14576,-1024.4901528681787
14577,-2776.8027070799353
14578,-2983.123988496546
14579,-3173.2427212504886
14580,-3196.5819213164687
14581,-3317.4884790458636
14582,-3329.823128263263
14583,-3314.2604289609308
14584,-3110.4503621186113
14585,-2083.253658285364
14586,-235.58688584504733
14587,1443.6753661304742
14588,2613.6428558401767
14589,2592.992354081806
14590,2205.0348445009367
14591,1376.6045178443349
14592,981.8796352945468
14593,592.9172690668693
14594,406.346523042107
14595,346.99120794005603
14596,271.8979556325531
14597,257.98284170940127
14598,363.5540272529807
14599,-513.0454090621391
14600,-2370.192822653429
14601,-3374.806808270635
14602,-3447.1905928358883
14603,-3622.360537348798
14604,-3564.9620170547587
14605,-3538.0305054538458
14606,-3564.6240404107994
14607,-3599.096246677131
14608,-3468.6513153186006
14609,-2814.8750797221987
14610,-641.0116338201894
14611,1508.4449659783197
14612,2480.0651299033616
14613,2591.958607277246
14614,2330.394185086456
14615,1477.1849810245124
14616,1171.6506780644338
14617,580.0644780315389
14618,426.3336032514453
14619,468.14354898206113
14620,581.099750923639
14621,1071.3568089523305
14622,1511.5273033160424
14623,1799.2803161405643
14624,1146.1464721530522
14625,-206.45192804923286
14626,-1241.4807688073054
14627,-2080.4254340661537
14628,-1693.9091975069227
14629,-1628.1337470966118
14630,-2155.932837675212
14631,-2314.251509665899
14632,-1972.9678268071204
14633,-830.9970221520449
14634,217.91553095211933
14635,1537.7869888066784
14636,2647.3113291135223
14637,2586.2674758115645
14638,2078.1375040192356
14639,1491.2564518793356
14640,1116.0357793373303
14641,794.4415545338306
14642,599.9200517989059
14643,562.7027382652511
14644,571.3698052597731
14645,932.3954776112189
14646,1546.7804582156887
14647,1756.7875748297931
14648,1095.5518044011098
14649,-0.8826359025942698
14650,-553.943856461563
14651,-1212.5341038628997
14652,-1777.4520910357473
14653,-2228.205346940966
14654,-2568.0865709017157
14655,-2633.1444926176523
14656,-2381.818799806043
14657,-1083.2533949510382
14658,124.35465541799951
14659,1483.915111239707
14660,2418.700685989506
14661,2352.257924532784
14662,1803.8280877535544
14663,1348.7825035987642
14664,1038.0914424842288
14665,612.1820979407711
14666,365.65274308527194
14667,325.40963547938657
14668,392.3178120238111
14669,561.7397681828977
14670,1082.3600752089326
14671,978.1028901707089
14672,-85.09512923774629
14673,-1692.6953067301447
14674,-2181.6713184992013
14675,-2594.993488454111
14676,-2705.5740702313933
14677,-2833.3868827623746
14678,-2914.8593547862492
14679,-3009.8508425475493
14680,-2858.328267302195
14681,-2066.861022361054
14682,-300.21610368012153
14683,1253.1610100376488
14684,2393.9041856729377
14685,2095.389015254512
14686,1697.2047846121368
14687,1049.4880346452542
14688,847.4611204319388
14689,340.6075326438415
14690,155.92555261551257
14691,-13.806820090292575
14692,88.37446477528772
14693,155.1175020439989
14694,311.95130691820805
14695,-1064.6282526993018
14696,-2441.5741727800623
14697,-3201.4422764730866
14698,-3256.1509344231813
14699,-3298.720599895152
14700,-3334.39515759416
14701,-3368.2783338539225
14702,-3389.304110205425
14703,-3420.4929187511643
14704,-3402.1343786520274
14705,-2945.0038962991493
14706,-1134.1838390716555
14707,1254.8375606227823
14708,2471.9557339897415
14709,2437.3497940199754
14710,2168.8885142345603
14711,1549.5007734136675
14712,1253.0155154945821
14713,622.5323697369948
14714,317.2528241084256
14715,284.4031598935482
14716,286.74029990561564
14717,670.9629198817853
14718,1215.4562651694841
14719,1379.4819988300596
14720,-4.968150463547133
14721,-2301.868927760577
14722,-2687.5004507614576
14723,-3040.9805222149253
14724,-3087.238806189824
14725,-3114.1732741298783
14726,-3100.6739220684585
14727,-3000.093154669912
14728,-2813.8900748596907
14729,-1883.977441441073
14730,241.8025867200891
14731,1848.6604751263294
14732,2678.7284001465187
14733,2715.8835016458434
14734,2348.840258999355
14735,1674.140849877795
14736,1367.825497015319
14737,873.2298504307319
14738,735.9396692051961
14739,659.521596766502
14740,643.3412738267539
14741,695.1612122736278
14742,825.6010718189988
14743,557.6592616486691
14744,-757.8028478591065
14745,-2414.400285769784
14746,-2812.220401718677
14747,-3039.6232558273596
14748,-3020.10291898892
14749,-3206.6009273350337
14750,-3184.2321881798443
14751,-3189.0416688835194
14752,-3139.4614270608017
14753,-2282.129283689204
14754,-828.8143374404996
14755,1263.408313819581
14756,2561.0111331961944
14757,2515.3026968444046
14758,2099.499058385487
14759,1591.4221666678718
14760,1201.0782002877772
14761,751.2652794737778
14762,535.3826516627277
14763,274.2194569015377
14764,310.9015013446668
14765,366.4446327047194
14766,451.02832181116673
14767,-36.086675846978856
14768,-2098.9982508211083
14769,-3218.394154472986
14770,-3341.033655931681
14771,-3463.075309019836
14772,-3377.1902001175163
14773,-3398.6510765850335
14774,-3392.867304157744
14775,-3432.238902955235
14776,-3379.4524890075363
14777,-2909.71854085618
14778,-1248.3242002750922
14779,931.6164806374503
14780,2255.9545896235877
14781,2359.766934057076
14782,1924.645148660964
14783,1228.0017220432605
14784,740.5673850485009
14785,158.56627309217964
14786,-86.41798259022075
14787,-119.98878307515365
14788,-84.64906643241765
14789,567.0264252336683
14790,1279.2798236086396
14791,1492.731350515239
14792,379.917635515004
14793,-1827.6784071912466
14794,-2652.2367276653895
14795,-2413.9028194385664
14796,-2497.4598244011304
14797,-2524.962166796001
14798,-2747.0506628975204
14799,-2980.937827323887
14800,-2462.9492699080943
14801,-1637.0663889954255
14802,502.2005753306513
14803,1933.3394977976814
14804,2772.6428927293214
14805,2751.2719139028595
14806,2463.1043781228245
14807,1706.9099370428307
14808,1341.4882104439025
14809,884.99275664996
14810,774.7375883245559
14811,698.788849271145
14812,813.31109145357
14813,1195.753994184456
14814,1697.9516368978602
14815,1733.5677784601926
14816,728.1976238931366
14817,-1317.1198192151594
14818,-2168.794668589995
14819,-2751.468944265433
14820,-2853.218890244465
14821,-2802.1559622835525
14822,-2633.101919792881
14823,-2700.8574377711852
14824,-2480.1194941710874
14825,-1493.8463630782537
14826,1.8851062200936362
14827,1468.776823542318
14828,2589.0359276628706
14829,2317.2276048134877
14830,1743.2596808335356
14831,1127.4908184767855
14832,624.9384648169168
14833,268.1838777770686
14834,-38.240492210295685
14835,-218.74724351818514
14836,-248.56054237316422
14837,308.83474058612114
14838,954.5298335066725
14839,1119.0183997832673
14840,-36.75886359969551
14841,-1742.8845014489702
14842,-2291.7814539324463
14843,-2711.609331124026
14844,-2721.209106629699
14845,-2465.943046727636
14846,-2362.82006451534
14847,-2386.1725679992505
14848,-1865.4882961084902
14849,-72.51719906847148
14850,891.8455359849706
14851,2068.8648442912317
14852,2804.5419142051555
14853,2773.4448937326238
14854,2571.8290129583506
14855,2067.980192063629
14856,1827.985329955332
14857,1254.1129534210475
14858,978.2126363785028
14859,903.3433259067995
14860,940.373321974379
14861,1377.85651978972
14862,1791.483285884039
14863,1881.3847554704848
14864,1241.4039684937507
14865,-449.05625273303724
14866,-1325.0647452979756
14867,-2038.4070777096633
14868,-2313.1526465116594
14869,-2328.0910875485883
14870,-2575.1926552125306
14871,-2537.138017159692
14872,-1701.0740977450764
14873,-523.015156395589
14874,771.5456305703004
14875,2109.209866918162
14876,2843.596664501095
14877,2533.483965503029
14878,2059.659939485582
14879,1327.1782018439794
14880,956.3510617276992
14881,761.6474783038328
14882,680.3599703146417
14883,675.1403645309143
14884,702.7638023415935
14885,1046.2137108090967
14886,1555.2075824551268
14887,1659.7586987426644
14888,941.9939751856516
14889,-450.3578125706209
14890,-1053.3550445675037
14891,-2122.174804181226
14892,-2066.2027695945703
14893,-2123.0197193213426
14894,-2524.5429627666736
14895,-2452.7572802055997
14896,-1656.3272657881407
14897,-334.2023012899066
14898,498.3700640177165
14899,1796.7867895300142
14900,2482.4858613683828
14901,2245.8051804859774
14902,1838.7224017728731
14903,1424.0106041743916
14904,957.0454702721956
14905,505.5405230403528
14906,227.68966869923014
14907,10.802835201998324
14908,-36.79573693738264
14909,291.5392440883983
14910,430.7645977482788
14911,168.34564177171342
14912,-1210.9655280761226
14913,-2735.1955214750596
14914,-3012.7757123142055
14915,-3369.451192260182
14916,-3411.558880018344
14917,-3386.3063867673172
14918,-3423.036546778007
14919,-3412.9065667073005
14920,-3258.1083188936536
14921,-2285.14094715276
14922,-145.22498075387819
14923,1299.2030602592047
14924,2327.2923136258105
