id,es_total_ps
14351,1622.6449227635858
14352,1217.9288926111715
14353,753.7923061756691
14354,594.6789334337116
14355,563.1633044026081
14356,609.6330347320605
14357,1110.1235892156496
14358,1697.2706018852466
14359,1521.7998734423813
14360,661.7755933643688
14361,-242.2596303310872
14362,-730.3431121043496
14363,-1066.4674237474453
14364,-1144.217286442302
14365,-1359.2566061098232
14366,-1288.7074711703249
14367,-1594.3470725594973
14368,-1767.5490602916275
14369,-735.7370125046308
14370,56.325161574574956
14371,1478.697284465151
14372,2675.277898670124
14373,2573.097154098376
14374,2173.4147909437097
14375,1327.2203468286177
14376,1002.1932124313399
14377,608.0401602906802
14378,451.76282618483174
14379,363.82179000673705
14380,365.818309202111
14381,868.3206296770644
14382,1526.2945563972344
14383,1313.297878198821
14384,465.3404399670832
14385,-1049.8780432690382
14386,-1555.7582638259546
14387,-1960.6399248766222
14388,-2248.7938757321813
14389,-2424.434917330947
14390,-2736.07501003886
14391,-2819.7343779056055
14392,-2641.6010825781154
14393,-1905.5145789255369
14394,-192.42667068971963
14395,1255.3513719039443
14396,2545.377204173426
14397,2538.5799862131307
14398,2223.4259142044584
14399,1419.3806762020358
14400,1056.5897691258494
14401,649.2999939130643
14402,365.772136478223
14403,330.2340337080147
14404,232.4334302500145
14405,450.54136903699805
14406,699.8101089036819
14407,384.55432780481016
14408,-1222.4734669349612
14409,-2674.9027165751786
14410,-2937.8573603124514
14411,-3226.7801272032525
14412,-3232.9698489398393
14413,-3277.124083077561
14414,-3277.827302573137
14415,-3293.935956069941
14416,-3020.446351367587
14417,-2539.0680754116142
14418,-670.7675199608207
14419,1296.1021828471219
14420,2496.9951064328134
14421,2583.92036973237
14422,2308.280250252886
14423,1563.5992084300283
14424,1192.2995411158656
14425,583.7661856964454
14426,473.46331066324257
14427,475.86442648257247
14428,405.691599756699
14429,565.876999958906
14430,725.7240601509676
14431,184.64713666049474
14432,-1652.9718756993939
14433,-3087.7700649330163
14434,-3089.7107269895564
14435,-3319.381271677176
14436,-3267.063811809098
14437,-2943.719713495032
14438,-2874.3800884009243
14439,-2797.931235116256
14440,-2738.102621703906
14441,-2143.329735254634
14442,-363.57492633620046
14443,1369.7208022916911
14444,2535.043955062493
14445,2623.810038366933
14446,2443.905541347462
14447,1928.3567770822897
14448,1526.4569378870317
14449,842.6743681602036
14450,680.3002858737303
14451,609.441184639376
14452,755.0586877527617
14453,1147.9475536458892
14454,1649.4816757169408
14455,1776.3345174558226
14456,893.4828296717473
14457,-425.37942209858045
14458,-1074.492258361635
14459,-1385.768602812108
14460,-1235.4668312192125
14461,-1010.1329863692623
14462,-1649.7466123700297
14463,-1390.8058036010036
14464,-1067.1211091169
14465,-656.1227046356221
14466,260.7326540360281
14467,1480.9909087007225
14468,2724.471891425686
14469,2727.9745815089927
14470,2452.5206655142147
14471,1576.1032966812363
14472,1203.2903420895582
