id,es_total_ps
14351,1598.9183409030356
14352,1209.705887652361
14353,761.4510867591994
14354,593.402391274668
14355,560.1747214568345
14356,623.6950888539793
14357,1118.3639845867613
14358,1673.1651881328094
14359,1509.2113408086748
14360,652.1916442739072
14361,-245.82419882910298
14362,-715.84901892284
14363,-1064.785021252763
14364,-1126.8295388281635
14365,-1397.1741959995954
14366,-1309.6825512921462
14367,-1600.3126614147964
14368,-1779.3784781418428
14369,-714.0492198670253
14370,45.496732881192536
14371,1503.6309650680998
14372,2687.0029186190964
14373,2588.397937606886
14374,2163.0895700567794
14375,1315.6077723659746
14376,1006.0024167944766
14377,618.4860305287764
14378,456.0856192186395
14379,390.2763594775044
14380,389.44767177517383
14381,861.6893553115087
14382,1537.0564376510615
14383,1312.9616057908825
14384,463.32131357263074
14385,-1065.5831035720735
14386,-1571.7613095459703
14387,-1950.7914782548526
14388,-2224.6045217026513
14389,-2418.458994930583
14390,-2734.5038674701764
14391,-2830.565477731507
14392,-2653.2852084614656
14393,-1922.8278549108625
14394,-185.8552262739053
14395,1240.1941650358567
14396,2551.232399179366
14397,2538.775134881128
14398,2221.5878648048547
14399,1411.5810822620867
14400,1078.3266170501834
14401,652.342675123369
14402,367.70304774520855
14403,347.9093773706322
14404,246.60987008889722
14405,471.8716514785926
14406,707.3474550685967
14407,443.3691418050279
14408,-1256.980287802972
14409,-2750.0624891147218
14410,-2983.14166089297
14411,-3283.2404772855884
14412,-3305.2574037788754
14413,-3321.290933701355
14414,-3299.5755348614407
14415,-3320.2027267620265
14416,-3005.9999617428953
14417,-2592.928432289918
14418,-642.456359152845
14419,1297.2188550802355
14420,2475.567469094393
14421,2581.659949409031
14422,2302.5831909739754
14423,1593.880437894202
14424,1188.7190704258937
14425,571.1587431695417
14426,458.5985523905299
14427,451.03851287638435
14428,391.397356680366
14429,578.9255337080788
14430,708.1602932043281
14431,207.04162297209612
14432,-1658.2551797671217
14433,-3172.0040794504885
14434,-3138.0826609759247
14435,-3353.9179312460865
14436,-3287.7409271948886
14437,-2982.8681414446314
14438,-2925.511948493379
14439,-2865.1956560441354
14440,-2819.564588069801
14441,-2197.0858702575756
14442,-377.7831397603395
14443,1349.9584703212383
14444,2565.1498453885692
14445,2639.715916898675
14446,2449.80900946569
14447,1865.0613392741711
14448,1484.5893997549495
14449,804.0664026829438
14450,620.596806228333
14451,549.29860438222
14452,724.4044614779986
14453,1129.3022159856516
14454,1636.5630933223333
14455,1779.9944037138343
14456,930.5394615630594
14457,-451.4624945852365
14458,-1134.4949465976626
14459,-1438.2348609513917
14460,-1245.8254538289532
14461,-1020.6109328784343
14462,-1647.4344987734496
14463,-1417.5854684777678
14464,-1129.0073829555895
14465,-674.291576818271
14466,277.0837280667913
14467,1484.9872155750134
14468,2772.455696624206
14469,2760.7274699217965
14470,2485.634592211965
14471,1549.21495647599
14472,1179.0328169323886
14473,729.1816421999662
14474,592.304003396093
14475,543.7722428223184
14476,550.0755304839781
14477,1015.5971559109506
14478,1469.3112962919015
14479,1476.1773195024757
14480,694.3873102719432
14481,-202.20621596920373
14482,-869.0479281169322
14483,-1083.8526708494776
14484,-1271.0443789770725
14485,-1168.1597117859212
14486,-1556.9562473751344
14487,-1603.3298287996424
14488,-1245.1137746462705
14489,-663.6426027275439
14490,215.57758083429212
14491,1602.6426713111382
14492,2746.153652921525
14493,2490.521497762062
14494,2083.177636523964
14495,1443.5222613550773
14496,1098.2637045709014
14497,553.1051970721819
14498,278.0760875991398
14499,125.94754051795195
14500,136.2688171986855
14501,548.6099216409148
14502,1107.0348444075526
14503,1114.3075957663932
14504,417.46283325281547
14505,-762.7374200330856
14506,-1569.7507518434147
14507,-1405.9364177746047
14508,-1532.5495196193835
14509,-1615.7840010517764
14510,-1376.1023794801606
14511,-1598.8784960993864
14512,-1554.5236608349187
14513,-616.7269069520879
14514,522.7840131109579
14515,1704.430257380222
14516,2804.452685745549
14517,2535.237875689293
14518,2189.914824584592
14519,1517.7776770133125
14520,1233.8436914052795
14521,598.9911108277707
14522,478.0358453572443
14523,295.7361693440259
