id,es_total_ps
14351,1670.0718897586603
14352,1241.7318933568674
14353,782.3311292027774
14354,605.7895755450229
14355,571.010767667796
14356,622.2721194600095
14357,1112.187788396479
14358,1685.799445221637
14359,1545.9860505364895
14360,661.1112503563738
14361,-266.9012535593056
14362,-762.4639637404606
14363,-1133.1680623122925
14364,-1230.1916875005159
14365,-1447.4386663806713
14366,-1362.6767604932331
14367,-1648.5029204065831
14368,-1823.330539087335
14369,-815.0902134455048
14370,62.080487878660044
14371,1453.577692565097
14372,2640.5792655696696
14373,2550.5741355209366
14374,2134.756236542677
14375,1360.896038725573
14376,1005.8886344380494
14377,608.4679436671335
14378,445.6843848331496
14379,348.6917781305651
14380,354.84077612937733
14381,854.8512058213882
14382,1518.0999957856782
14383,1323.1058370773612
14384,403.61113957518694
14385,-1060.5985506957868
14386,-1560.422007243645
14387,-1969.979949304182
14388,-2282.007414913775
14389,-2460.926759742446
14390,-2768.453753281048
14391,-2850.2924856657023
14392,-2655.2573463924564
14393,-1962.8273300078672
14394,-225.99303066972467
14395,1231.7716102223144
14396,2501.8387699625346
14397,2492.346310691152
14398,2154.3417791083066
14399,1441.1113598577617
14400,1041.812195445857
14401,648.1233393292439
14402,359.3054649636759
14403,322.1005107973457
14404,214.11422238203176
14405,437.1011560024273
14406,698.2940266884207
14407,376.094211475307
14408,-1238.9242237586293
14409,-2602.5734071019474
14410,-2877.913191720868
14411,-3185.9056151532923
14412,-3208.8549454136264
14413,-3250.652787544539
14414,-3246.333958872242
14415,-3265.8713452643547
14416,-2990.0346471187177
14417,-2596.093400791036
14418,-738.5354973209533
14419,1251.0756723802378
14420,2484.491570793933
14421,2569.335138215024
14422,2277.9085777134014
14423,1579.4614120813058
14424,1202.0320042098476
14425,620.4562205336478
14426,485.2544688489663
14427,477.57902366635864
14428,399.1126463563736
14429,540.6318676088435
14430,687.6590827561914
14431,142.82794962146127
14432,-1655.8611682907488
14433,-3010.858701259399
14434,-3017.980791988398
14435,-3252.267445497415
14436,-3224.4348203498175
14437,-2921.041159812838
14438,-2848.016151812833
14439,-2765.087699904138
14440,-2708.3279350044268
14441,-2208.401990402574
14442,-462.44938024625674
14443,1363.9154321602357
14444,2546.6292309137248
14445,2654.99814501289
14446,2434.5753119412216
14447,1953.3376832763063
14448,1541.4262495080122
14449,867.5296160175078
14450,695.7469989426987
14451,628.3149538724465
14452,775.8708462447939
14453,1158.5712909852766
14454,1668.0421044272985
14455,1780.1800216022139
14456,870.2764795308342
14457,-451.2080960601966
14458,-1102.5642708645914
14459,-1418.5373322749995
14460,-1288.0758272002488
14461,-1088.7323144988748
14462,-1703.5502626614168
14463,-1451.9611204842904
14464,-1154.2009406856114
14465,-785.4929946215922
14466,218.524705216697
14467,1445.9711372085335
14468,2694.739027294009
14469,2707.7398477463785
14470,2404.1367518388997
14471,1612.1161151342865
14472,1225.5653372716474
14473,766.9662686097707
14474,592.4281512333091
14475,554.3361963560155
14476,575.1401240324483
14477,1033.3072322536004
14478,1481.658575833732
14479,1499.8857846844542
14480,706.7670407839987
14481,-217.8404021550405
14482,-876.1998328024988
14483,-1115.228999019978
14484,-1304.1895190713674
14485,-1177.0253138177472
14486,-1574.8086396930044
14487,-1587.8377181799233
14488,-1260.4275445722199
14489,-710.7412219291327
14490,244.2577248596438
14491,1620.6529493795035
14492,2718.8401028903068
14493,2471.3781348896873
14494,2064.746968280292
14495,1484.6610199358847
14496,1096.9338105793593
14497,580.9090364818766
14498,286.4248892630192
14499,106.22963336790143
14500,132.16412917663462
14501,558.9422887200442
14502,1136.2586902700625
14503,1117.8843805538074
14504,363.1687817398574
14505,-762.7212858930731
14506,-1519.435037255604
14507,-1396.9796065861867
14508,-1561.9919648633254
14509,-1640.1444151130656
14510,-1349.3430387498731
14511,-1588.8387832224664
14512,-1557.134007605638
14513,-725.8224968038128
14514,518.5748439422978
14515,1687.4134966926815
14516,2782.5703866494264
14517,2505.177478679653
14518,2152.2098393611795
14519,1569.8333781027154
14520,1265.749441626806
14521,623.9227580519844
14522,484.08759552525294
14523,296.35825756296526
14524,317.8807989962155
14525,693.5233107196891
14526,1345.8604445673582
14527,1287.8209186876027
14528,316.35310133500235
14529,-1358.1830686370843
14530,-1894.8665564323564
14531,-1984.0127400331048
14532,-2048.0887870723304
14533,-2184.7511398229526
14534,-2305.5705831828777
14535,-2036.5131162321316
14536,-1720.3637097077378
14537,-583.7028120253076
14538,414.2913427926279
14539,1602.6529039877032
14540,2724.0588780791923
14541,2651.791191071531
14542,2303.9155541847995
14543,1775.9298114665373
14544,1416.6035506434164
14545,997.092944840668
14546,749.6674350955838
14547,713.7603123587969
14548,721.4874495570696
14549,1061.6057672768673
14550,1571.3569020594077
14551,1560.0629635502007
14552,544.1725191082189
14553,-798.580715917391
14554,-1180.6041707871043
14555,-1611.0264067785229
14556,-1796.2725356954443
14557,-1679.9890511877757
14558,-2310.3183510356735
14559,-1953.676616000623
14560,-1590.6035900953425
14561,-539.3159434415644
14562,464.79404208989524
14563,1563.1693135871287
14564,2638.169514980134
14565,2428.8891170123484
14566,2019.4692331729502
14567,1551.1666980852544
14568,1075.289668055872
14569,701.1062761678586
14570,429.4300249347984
14571,292.0966837510237
14572,136.0016584938805
14573,351.83623406211757
14574,522.897891098676
14575,283.6117320000757
14576,-1055.9538663181004
14577,-2590.7121047072233
14578,-2820.425021695845
14579,-2965.367664510066
14580,-3050.3181599226677
14581,-3160.5662902812714
14582,-3165.6398831295005
14583,-3167.3835234884486
14584,-3089.774176241392
14585,-1970.1739208376941
14586,-145.61023296379315
14587,1538.6268575453544
14588,2638.4948839433123
14589,2564.30867956336
14590,2292.5097379708677
14591,1504.416147906218
14592,1107.287446096251
14593,636.9941188080435
14594,422.4126877934415
14595,405.61413812760725
14596,299.5040116632207
14597,305.39483836557264
14598,378.66383968392114
14599,-496.13373223444415
14600,-2195.261805644074
14601,-3321.7458919331193
14602,-3374.1903916694596
14603,-3501.049647753995
14604,-3435.6023907755052
14605,-3421.0225698946742
14606,-3444.6777352230447
14607,-3493.3664852227625
14608,-3383.968251709765
14609,-2773.307381246196
14610,-631.5531778994997
14611,1498.7945515188571
14612,2498.14832309004
14613,2583.3695144340154
14614,2430.266175147223
14615,1657.53060391467
14616,1316.986272590727
14617,674.704628111462
14618,483.8727301744894
14619,549.4825069863691
14620,678.0146538751163
14621,1117.6424730352355
14622,1539.4706663791703
14623,1864.4537267021747
14624,1201.8441707332963
14625,-245.25013957449477
14626,-1198.1952975092022
14627,-1884.1548920430948
14628,-1694.648651637174
14629,-1598.8635726559528
14630,-2034.662295464508
14631,-2151.8652094006343
14632,-1900.6821692197764
14633,-803.8613971853645
14634,169.8666736337279
14635,1542.9826746290469
14636,2624.3853003329023
14637,2561.318362601139
14638,2157.9065836175705
14639,1570.9093389609704
14640,1203.5053785881767
14641,756.3348051697863
14642,530.9130955857585
14643,425.52607799414153
14644,443.97318643523613
14645,916.5742069471287
14646,1607.6167282906579
14647,1869.919305238242
14648,1141.6202250823778
14649,78.06712688867886
14650,-488.24108756236575
14651,-1282.379261275835
14652,-1702.1110840235
14653,-2009.843505612432
14654,-2320.725073523242
14655,-2415.6614478878464
14656,-2154.7980121818982
14657,-1005.9509529897344
14658,170.22137210099027
14659,1527.165238487363
14660,2485.666423275784
14661,2423.0416987239573
14662,1952.0060960622118
14663,1476.4106069650702
14664,1044.7799395901616
14665,561.1373847884942
14666,280.94240978932186
14667,240.29942239425222
14668,325.6165766961467
14669,575.6471451509666
14670,1127.6005802915615
14671,1042.326491277104
14672,-56.37068224496341
14673,-1776.0147580279242
14674,-2279.1581356528973
14675,-2576.002171170869
14676,-2684.7084739336347
14677,-2758.27339940155
14678,-2801.924910907523
14679,-2912.9024660161517
14680,-2749.8871747441362
14681,-2030.8680566286807
14682,-242.45295618365267
14683,1274.8562723654102
14684,2406.4113883301825
14685,2168.473300068528
14686,1746.4281085141954
14687,1069.9357610075883
14688,773.3322443521675
14689,227.70779109748088
14690,83.31322699161018
14691,-64.66126573533802
14692,21.146687957500294
14693,115.70099318034056
14694,245.67388800940506
14695,-922.227268480211
14696,-2280.2856742664767
14697,-3143.1719894620037
14698,-3221.00983246095
14699,-3289.367615708162
14700,-3317.1512742806863
14701,-3369.9586419234415
14702,-3416.1315006438263
14703,-3496.2523683844684
14704,-3393.7148881663816
14705,-2926.633904803788
14706,-1122.4431489505005
14707,1273.8399598403419
14708,2451.933459235411
14709,2460.940925520503
14710,2175.7693688558998
14711,1691.8005177329844
14712,1321.3140406267964
14713,782.8544562735566
14714,535.7761203096924
14715,463.1724458527538
14716,440.2686283861133
14717,840.7966786884992
14718,1333.6941209642696
14719,1384.2827332791956
14720,-69.85312112842497
14721,-2128.631101486413
14722,-2523.1529296420167
14723,-2892.9751395770927
14724,-2938.3780177030594
14725,-2976.346426703284
14726,-2903.2294311353985
14727,-2887.46377956233
14728,-2765.178964971934
14729,-1881.443883784692
14730,228.8853524489715
14731,1753.5280132421815
14732,2721.027258258042
14733,2697.9109648182816
14734,2399.8564621772603
14735,1712.1166313328508
14736,1387.8140874642495
14737,941.8940574703071
14738,792.0497145979116
14739,661.8494137377945
14740,636.795524145635
14741,766.10596810487
14742,923.3656978699867
14743,554.3542726380606
14744,-846.272520587523
14745,-2232.4228334037234
14746,-2613.142203787936
14747,-2938.871766228522
14748,-2927.2495073932882
14749,-3111.752328813959
14750,-3034.914436559066
14751,-3051.5169337230122
14752,-3034.0437380192907
14753,-2276.2563966019748
14754,-621.7294708668389
14755,1417.656255126152
14756,2567.9596671104227
14757,2544.42102596272
14758,2136.6803291419164
14759,1700.664154745969
14760,1315.4745093025754
14761,827.3705090372014
14762,551.3303354672171
14763,330.5285893782714
14764,326.3176582116605
14765,442.16988160228584
14766,498.5037750293787
14767,-120.44930497314955
14768,-1978.4291379337785
14769,-3113.1808434934333
14770,-3307.143178465541
14771,-3394.910428366485
14772,-3289.293972090021
14773,-3322.317787033508
14774,-3382.7198039265063
14775,-3419.8554471821026
14776,-3339.9758624321294
14777,-2945.537773789575
14778,-1115.9422001886858
14779,1071.6720018108638
14780,2315.2084546434526
14781,2389.981797515421
14782,2056.354595020232
14783,1396.8325222321184
14784,895.5672905053794
14785,74.04150566528642
14786,-108.35572031218102
14787,-158.08991531337696
14788,-79.73463032741097
14789,668.6238553120892
14790,1401.3684204006356
14791,1530.8715755409587
14792,426.14090002446176
14793,-1775.5151622359222
14794,-2374.030745340612
14795,-2256.139639619323
14796,-2328.907932366718
14797,-2420.5261358613725
14798,-2662.645586783397
14799,-2868.0096429023756
14800,-2420.536927855451
14801,-1626.0531007117615
14802,434.5824977517738
14803,1901.9147387645808
14804,2744.5789855154358
14805,2731.862134697157
14806,2476.4168287629286
14807,1767.9774189399807
14808,1387.1946022000895
14809,857.8278280304432
14810,758.5423060337363
14811,727.2115271609939
14812,829.8337721688808
14813,1213.956860937319
14814,1749.4587703508178
14815,1784.4366122022507
14816,789.1309608371472
14817,-1192.3737220014327
14818,-1911.07717877648
14819,-2540.2229179990445
14820,-2661.1537800711944
14821,-2623.513481229161
14822,-2506.091894336377
14823,-2601.16543800713
14824,-2423.2076164200794
14825,-1395.0661146644563
14826,21.05240530557708
14827,1596.2666528314628
14828,2604.6763828947023
14829,2375.231420585452
14830,1823.1289591880468
14831,1135.8232625266814
14832,641.2601188349812
14833,268.2729862444338
14834,20.722302715303215
14835,-171.24140017071508
14836,-161.26742479790795
14837,273.0612755641574
14838,1009.5414250844307
14839,1086.6150079246156
14840,-67.87450196101463
14841,-1592.8899356163772
14842,-2180.7320597947855
14843,-2569.476927154356
14844,-2569.227210153067
14845,-2367.664498231089
14846,-2222.3916417776795
14847,-2175.1232654347764
14848,-1744.7387211899595
14849,-148.14656423037005
14850,991.4501423852088
14851,2160.181240173259
14852,2853.926314703655
14853,2802.610528755565
14854,2631.4676694914497
14855,2240.6637863424885
14856,1974.8523669414608
14857,1380.319349281569
14858,1058.9813204093798
14859,954.6223354451254
14860,987.6109455513777
14861,1421.0231077819658
14862,1874.0000638078627
14863,2008.7088097571743
14864,1319.0396664472892
14865,-162.73128550979044
14866,-1143.5674611997933
14867,-1873.5452261574478
14868,-2154.3468394204983
14869,-2065.0195943335316
14870,-2321.734103136912
14871,-2250.73390181232
14872,-1560.5975805705189
14873,-469.5479691435723
14874,839.9361791896882
14875,2133.0089829410963
14876,2872.0068146212475
14877,2632.8206741731615
14878,2204.639097883575
14879,1526.5324592928378
14880,1078.4903756527517
14881,784.383780023527
14882,754.2376340232889
14883,648.2632373568515
14884,717.737162084227
14885,1117.9575519050306
14886,1625.748954848334
14887,1730.2743471708282
14888,1043.977301647796
14889,-301.3522046571852
14890,-946.7628471612377
14891,-1962.544741905643
14892,-1958.6665849235214
14893,-1981.8036982106646
14894,-2320.745938491971
14895,-2270.763820733162
14896,-1512.4076303001602
14897,-304.765236990061
14898,670.3810926440475
14899,1819.8850562286354
14900,2565.019308636861
14901,2380.362356910618
14902,1998.7187306445976
14903,1514.3484656384537
14904,1080.8551633888403
14905,586.6194996493223
14906,288.2267662378003
14907,92.34168303892176
14908,34.048668993848906
14909,309.82967372416135
14910,468.78999095581463
14911,200.23922471062957
14912,-1128.2570294886862
14913,-2555.1664316381575
14914,-2848.732738418338
14915,-3140.53090928414
14916,-3188.637892980325
14917,-3180.08533591121
14918,-3246.3360209651423
14919,-3251.1134493132035
14920,-3166.892158637678
14921,-2181.193139451706
14922,-88.25125849284818
14923,1473.830476642102
14924,2382.1295190680707
14925,2260.762499094157
