id,es_total_ps
14351,2028.5509070527796
14352,1386.1815938085108
14353,976.8422865162131
14354,701.1405932250258
14355,634.7798177906185
14356,714.1703070369635
14357,1212.2752822794666
14358,1791.066822453838
14359,1611.4914492553755
14360,469.54394688506306
14361,-580.3370716158219
14362,-1217.233860190598
14363,-1625.9561789762884
14364,-1837.5923605659439
14365,-2030.2009294450165
14366,-1872.4458982711767
14367,-2015.1038579750984
14368,-2211.8407663303765
14369,-1620.4413479338418
14370,-357.5994408686146
14371,1711.082965046198
14372,2951.643078092521
14373,2850.1651988481394
14374,2256.0319730829865
14375,1522.3627508958284
14376,952.9307434481575
14377,545.6485195385403
14378,312.72398043791657
14379,169.4497259925446
14380,187.61243175939384
14381,759.7140180266598
14382,1458.7868003038766
14383,1192.5106949944854
14384,-1.6839263497124222
14385,-1090.681613477515
14386,-1661.13067962576
14387,-2039.742040736021
14388,-2507.3926972675763
14389,-2716.0018718065735
14390,-3032.1293489059726
14391,-3056.19941845891
14392,-2769.0637652019964
14393,-2247.311421920037
14394,-653.5063831880753
14395,1284.0194446124426
14396,2562.3965706185772
14397,2609.504719722044
14398,2092.2175553330226
14399,1495.159046108803
14400,857.74077579059
14401,439.15654919385605
14402,72.60316040819082
14403,8.654123267005232
14404,-167.31020983570286
14405,103.90320101675051
14406,421.10307734224534
14407,226.05333834146995
14408,-1156.4115591330728
14409,-2152.6665631156116
14410,-2709.878587745169
14411,-3389.5111172389575
14412,-3517.463111409329
14413,-3517.2804508540244
14414,-3468.384845583791
14415,-3520.084141798178
14416,-3126.4552762529843
14417,-2899.8238750216105
14418,-1259.4563575679115
14419,1104.6550794152183
14420,2458.3731133128817
14421,2564.173081024754
14422,2089.7545045077663
14423,1577.3066854774638
14424,1053.6747938126755
14425,623.7277091014103
14426,322.35227732803844
14427,254.4947983075308
14428,124.15346585281443
14429,248.78696705227907
14430,415.0334159495719
14431,14.376694587108584
14432,-1340.3742090598557
14433,-2428.118904873935
14434,-2721.604746260769
14435,-3150.2055770416996
14436,-3346.188159830519
14437,-3195.076675306974
14438,-3089.164397142176
14439,-3030.2715908669516
14440,-2976.1939456299883
14441,-2692.207830556873
14442,-1233.1086419525743
14443,1219.2708891108616
14444,2662.1973139481183
14445,3001.922760766693
14446,2455.4610946717657
14447,2054.5041261686074
14448,1474.3653698804349
14449,894.4528126938887
14450,696.4294053276283
14451,629.6557145668523
14452,850.5009592877367
14453,1351.157103147211
14454,2073.9909739016257
14455,1804.6407273148222
14456,544.6295069138689
14457,-696.1694247524803
14458,-1445.6433980862876
14459,-1890.4470295189512
14460,-1887.6761313381255
14461,-1882.0627863706056
14462,-2247.7841226645073
14463,-2105.387840021425
14464,-2004.6269035602238
14465,-1812.9501208268684
14466,-428.7757493516613
14467,1627.8736265113341
14468,2987.5054037139307
14469,3106.994161358774
14470,2559.332632672893
14471,1820.547233078321
14472,1241.1598615021742
14473,800.2344518670584
14474,562.0283114690208
14475,512.3386144985999
14476,604.3884502651608
14477,1083.0715489138427
14478,1577.5039941310024
14479,1468.2899566817275
14480,483.93740207042526
14481,-579.7963515716357
14482,-1376.303736186871
14483,-1727.2419398593133
14484,-1991.478284576541
14485,-1993.0979731833934
14486,-2198.7790480000517
14487,-2171.8514163672653
14488,-2008.3482801559583
14489,-1603.5402302156685
14490,-159.5266577697588
14491,1832.2556039733088
14492,3005.483553469004
14493,2782.003803421558
14494,2195.1996376682355
14495,1706.669546382172
14496,1095.921605609579
14497,593.2522430727852
14498,163.9594404420737
14499,-84.75026709853074
14500,-9.79692436472663
14501,490.49676122952735
14502,1037.0378724034185
14503,974.9250362385101
14504,-50.339304953571826
14505,-946.9313717448139
14506,-1702.4483383627917
14507,-1730.9263938333938
14508,-2011.0130687822573
14509,-2070.8705853942292
14510,-1848.0134943089465
14511,-2002.2943336676076
14512,-2095.158868045947
14513,-1545.116166288809
14514,58.12853118310963
14515,1926.3856186614437
14516,3111.5339347947784
14517,2763.056211396374
14518,2228.4863774098935
14519,1782.7215156666762
14520,1241.4481693677606
14521,621.6322201369221
14522,349.45772782438877
14523,125.78297002105508
14524,129.80511756982244
14525,585.9731632249262
14526,1247.5765437357873
14527,1144.453641707423
14528,-89.25791580350973
14529,-1341.6307821891342
14530,-2177.613625170377
14531,-2333.1598791964557
14532,-2315.4916301440653
14533,-2338.650516362472
14534,-2412.221368961105
14535,-2065.23095625244
14536,-1992.1525619796855
14537,-1385.679083715078
14538,16.984334073812846
14539,1880.1442442861578
14540,3039.62654112436
14541,3014.6505599180105
14542,2412.9649377270916
14543,2003.7775720406357
14544,1436.231586365507
14545,1064.4762296010751
14546,692.7698899418241
14547,645.4362076168295
14548,629.7563771766971
14549,1070.6900212179282
14550,1707.0400836967597
14551,1583.0395166232381
14552,317.97349099338624
14553,-857.468568969734
14554,-1468.245968668014
14555,-1877.8519241146382
14556,-2108.4593264977775
14557,-2057.483282345323
14558,-2455.974571790164
14559,-2171.678487826211
14560,-1965.7357214515107
14561,-1312.858907851361
14562,114.32466331814064
14563,1751.6159830035078
14564,2950.7106470740746
14565,2727.1609415079647
14566,2155.8738298399144
14567,1755.4244321335723
14568,1051.5748470007363
14569,725.9059812039982
14570,334.6602213420871
14571,105.26146722902588
14572,-118.87646756597198
14573,140.49941135470124
14574,376.67858710533176
14575,137.14271598192636
14576,-1149.589335580311
14577,-2328.85907114706
14578,-2814.011286909552
14579,-2963.733573557094
14580,-3239.4231055561477
14581,-3466.8221970481
14582,-3352.023511928311
14583,-3352.898201475912
14584,-3180.4316389984074
14585,-2137.0153921370184
14586,-454.8451780841797
14587,1647.7961616352998
14588,2882.5215595876803
14589,2709.2675772826124
14590,2253.556273172071
14591,1546.6702448604847
14592,983.3598504576141
14593,597.2382921360129
14594,267.43576129435866
14595,191.7772575407978
14596,-13.995238329145872
14597,12.008425167567381
14598,117.12085077288977
14599,-385.14369777022387
14600,-1753.2033408938637
14601,-3040.320145665493
14602,-3527.401950352875
14603,-3923.120604721402
14604,-3954.3252658326655
14605,-3906.504973823971
14606,-3974.8557096751933
14607,-4194.202386500207
14608,-3853.50233474656
14609,-3033.9006129640884
14610,-1034.5125137853852
14611,1261.0486779899236
14612,2647.1521546468553
14613,2843.546022456487
14614,2476.6464870653895
14615,1678.9578765462047
14616,1166.2030091116287
14617,640.9268917709915
14618,392.4744842317568
