id,es_total_ps
14351,1942.4806502604902
14352,1372.0426711061634
14353,942.9149746767339
14354,660.0308781314873
14355,606.5227738567103
14356,685.5726484295416
14357,1108.9141546609967
14358,1602.0274305098692
14359,1710.8218100362005
14360,771.3726331064712
14361,-296.86053349342944
14362,-848.1761661053374
14363,-1430.4093306679806
14364,-1640.879868586185
14365,-1879.6085016103195
14366,-1700.612818316279
14367,-1883.8302227513564
14368,-2077.344503827391
14369,-1190.7677695742075
14370,183.4240329860722
14371,1293.689415237834
14372,2414.720464654478
14373,2397.40457815777
14374,1881.6466296729727
14375,1555.2221437545961
14376,1026.1325604310148
14377,610.0974261586395
14378,410.34279290638887
14379,259.4496332874104
14380,290.3162605566268
14381,761.4364708587452
14382,1457.0567005610662
14383,1425.0030388494333
14384,130.68291396431408
14385,-1047.9160008956783
14386,-1518.4008958637526
14387,-1961.5704739654261
14388,-2432.015656534026
14389,-2636.0594164085055
14390,-2935.922843298656
14391,-3011.7070436613994
14392,-2701.9196071124284
14393,-2261.2676021883653
14394,-348.90387314827564
14395,1093.9297387516294
14396,2214.534838680779
14397,2190.0814214705056
14398,1717.026221462303
14399,1567.6798270575807
14400,955.2413790964898
14401,648.5328659011269
14402,330.07633924287984
14403,282.95421174020584
14404,114.16870030096925
14405,363.6906863827202
14406,703.9900217160805
14407,395.48264039394775
14408,-1287.3598352083754
14409,-2124.5730134582727
14410,-2481.0501614333107
14411,-2916.1599692155382
14412,-3037.140569418646
14413,-3059.461793427001
14414,-3023.8220740901634
14415,-3066.4010284082456
14416,-2763.1525081961536
14417,-2908.4656234851027
14418,-1078.5994990175348
14419,987.0707633706973
14420,2385.135130762469
14421,2455.6826585830954
14422,2073.3811598663356
14423,1664.6302219618126
14424,1257.8446672511996
14425,843.278059631914
14426,558.6225886430043
14427,490.9640786553156
14428,359.73939967061244
14429,377.4751103354347
14430,454.6202143693186
14431,-52.372366171078085
14432,-1618.1153749586633
14433,-2498.7103820189327
14434,-2539.015264090237
14435,-2807.347776325597
14436,-2926.152506232016
14437,-2730.519291286263
14438,-2630.9468382285972
14439,-2502.8077238208252
14440,-2466.419107761583
14441,-2540.944797765136
14442,-981.9704448081626
14443,1323.4424514784316
14444,2596.184660974042
